,id,text,name,screen_name,description,user_id,is_quote,lang
14,1333849093718773761,"El Gobierno de coalición destina 10 millones de euros a Canarias para para proteger a los menores que se han visto en la obligación de migrar.

Defendemos los derechos humanos con hechos, no con palabras. https://t.co/7YjoCfx0xp",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
15,1333839396014092290,"Eurodiputado de la extrema derecha cazado en una orgía de 25 personas con drogas en pleno COVID.

Dios, patria, familia... drogas y orgías, en ese orden.

Los guardianes de la moral de occidente.",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
16,1333836036900872192,"Aportes, escucha. Una participación activa y democrática.
Luego está el ruido, sobredimensionado en tuiter y algunos medios. Pero el ruido nada construye.
Seguimos ✊🏽☂️ https://t.co/TRMXsVw6VY https://t.co/wkckXpiUu2",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
17,1333833490865872899,Se llama DERECHOS HUMANOS https://t.co/oCBizXyAez,PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
18,1333831431940923392,"España siempre ha demostrado su respeto a la diversidad y su intolerancia a la discriminación. 

Más de 60.000 aportaciones ciudadanas a la consulta pública de la Ley Trans, el 96% a favor. 

Seguimos para conseguir una sociedad donde todas las vidas sean dignas de ser vividas https://t.co/NVv1xgzfeR",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
19,1333824871474794496,"La futbolista Paula Dapena recibe amenazas de muerte por negarse a rendir homenaje a Maradona y reivindicar la memoria de las mujeres víctimas de agresiones sexuales. Estamos contigo, nos tendrán a todas enfrente contra la violencia machista.",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
20,1333821915199246336,"📽️ @IreneMontero: ""Que las personas trans tengan claro que este año es el año en el que sus derechos se van a ver reconocidos en la ley"". https://t.co/a3aUk6tZDB",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
21,1333815507695398917,"Ayuso malgasta 100 millones de dinero público en algo que no se puede llamar hospital.

Lo hace no solo para enriquecer a los de siempre, sino para degradar lo público hasta cansar al contribuyente.

No, la derecha nunca han creído en lo público, y por eso lo maltrata sin censar.",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
22,1333808095768825856,"📽️ ""Vamos a seguir trabajando, como no podía ser de otra manera, en el estricto respeto de los derechos humanos"".

@PabloIglesias sobre los fondos aprobados para que en Canarias, Ceuta y Melilla puedan atender a los niños, niñas y adolescentes que se han visto obligados a migrar. https://t.co/x1RvreFBNl",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
23,1333801073635540993,📽 @PabloIglesias: “Es triste que ustedes estén gobernando gracias a una fuerza xenófoba y abiertamente racista como VOX y luego pretendan venir a hablar de política migratoria. Es vergonzoso”. https://t.co/u9NxiVkF3D,PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
